Month,Race/Ethnicity,action_taken,CALLS FOR SERVICE,CHECK POINT,EQUIPMENT VIOLATION,MISSING,OTHER INVESTIGATIVE DETENTION,TERRY STOP,TRAFFIC VIOLATION
2021-11,BLACK,CITATION/SUMMONS,12,0,11,0,0,1,243
2021-11,BLACK,NO ENFORCEMENT ACTION,2,0,0,0,0,4,9
2021-11,BLACK,WARNING ISSUED,0,0,5,0,0,0,129
2021-11,INDIGENOUS,CITATION/SUMMONS,0,0,0,0,0,0,5
2021-11,INDIGENOUS,WARNING ISSUED,0,0,0,0,0,0,6
2021-11,LATINO,ARREST,6,0,0,0,0,1,24
2021-11,LATINO,CITATION/SUMMONS,24,0,24,0,0,3,285
2021-11,LATINO,NO ENFORCEMENT ACTION,2,0,0,0,0,1,4
2021-11,LATINO,WARNING ISSUED,0,0,1,0,0,0,110
2021-11,UNKNOWN,CITATION/SUMMONS,3,0,13,0,3,0,439
2021-11,UNKNOWN,NO ENFORCEMENT ACTION,1,0,0,0,1,1,1
2021-11,UNKNOWN,WARNING ISSUED,0,0,9,0,1,0,71
2021-11,WHITE,ARREST,8,0,0,0,0,2,10
2021-11,WHITE,CITATION/SUMMONS,26,0,28,0,0,1,691
2021-11,WHITE,NO ENFORCEMENT ACTION,5,0,1,0,0,2,3
2021-11,WHITE,WARNING ISSUED,1,0,5,0,1,1,205
2021-12,AAPI,ARREST,0,0,0,0,0,0,2
2021-12,AAPI,CITATION/SUMMONS,9,0,3,0,4,0,107
2021-12,AAPI,NO ENFORCEMENT ACTION,2,0,0,0,0,0,0
2021-12,AAPI,WARNING ISSUED,1,0,2,0,0,1,48
2021-12,BLACK,ARREST,1,0,0,0,0,2,1
2021-12,BLACK,CITATION/SUMMONS,10,0,9,0,0,0,200
2021-12,BLACK,NO ENFORCEMENT ACTION,2,0,0,0,1,5,4
2021-12,BLACK,WARNING ISSUED,0,0,11,0,1,3,131
2021-12,INDIGENOUS,CITATION/SUMMONS,0,0,0,0,0,0,5
2021-12,INDIGENOUS,WARNING ISSUED,0,0,0,0,0,0,5
2021-12,LATINO,ARREST,8,0,0,0,0,2,14
2021-12,LATINO,CITATION/SUMMONS,34,0,20,0,3,3,244
2021-12,LATINO,NO ENFORCEMENT ACTION,2,0,0,0,0,8,1
2021-12,LATINO,WARNING ISSUED,2,0,2,0,0,0,91
2021-12,UNKNOWN,ARREST,0,0,0,0,0,0,1
2021-12,UNKNOWN,CITATION/SUMMONS,2,0,8,0,0,1,360
